word,cefr_level,pos
casualty,C1,noun
clash,C1,noun
combat,C1,noun
confrontation,C1,noun
deployment,C1,noun
firearm,C1,noun
fleet,C1,noun
genocide,C1,noun
guerrilla,C1,noun
hostage,C1,noun
massacre,C1,noun
militia,C1,noun
missile,C1,noun
patrol,C1,noun
raid,C1,noun
rebellion,C1,noun
resistance,C1,noun
retreat,C1,noun
riot,C1,noun
squad,C1,noun
surveillance,C1,noun
tactic,C1,noun
warfare,C1,noun
to advocate,C1,verb
to alert,C1,verb
to allege,C1,verb
to applaud,C1,verb
to articulate,C1,verb
to assert,C1,verb
to circulate,C1,verb
to congratulate,C1,verb
to correspond,C1,verb
to denounce,C1,verb
to depict,C1,verb
to disclose,C1,verb
to dub,C1,verb
to echo,C1,verb
to endorse,C1,verb
to evoke,C1,verb
to exaggerate,C1,verb
to hail,C1,verb
to inquire,C1,verb
to insult,C1,verb
to invoke,C1,verb
to leak,C1,verb
to notify,C1,verb
to portray,C1,verb
to preach,C1,verb
to proclaim,C1,verb
to reassure,C1,verb
to recount,C1,verb
to testify,C1,verb
to vow,C1,verb
to abolish,C1,verb
to arm,C1,verb
to assault,C1,verb
to betray,C1,verb
to bind,C1,verb
to blast,C1,verb
to breach,C1,verb
to combat,C1,verb
to compel,C1,verb
to concede,C1,verb
to condemn,C1,verb
to confine,C1,verb
to confront,C1,verb
to conquer,C1,verb
to convict,C1,verb
to counter,C1,verb
to crush,C1,verb
to defy,C1,verb
to deploy,C1,verb
to detain,C1,verb
to dictate,C1,verb
to disrupt,C1,verb
to enforce,C1,verb
to imprison,C1,verb
to incarcerate,C1,verb
to raid,C1,verb
to rape,C1,verb
to seize,C1,verb
to slash,C1,verb
to smash,C1,verb
to stab,C1,verb
to suppress,C1,verb
to surrender,C1,verb
to torture,C1,verb
to undermine,C1,verb
to violate,C1,verb
to whip,C1,verb
to aspire,C1,verb
to await,C1,verb
to conceal,C1,verb
to conceive,C1,verb
to contemplate,C1,verb
to contend,C1,verb
to deem,C1,verb
to diagnose,C1,verb
to differentiate,C1,verb
to dispute,C1,verb
to disregard,C1,verb
to embody,C1,verb
to foresee,C1,verb
to grasp,C1,verb
to haunt,C1,verb
to inspect,C1,verb
to obsess,C1,verb
to overlook,C1,verb
to presume,C1,verb
to probe,C1,verb
to breed,C1,verb
to carve,C1,verb
to compile,C1,verb
to constitute,C1,verb
to craft,C1,verb
to cultivate,C1,verb
to devise,C1,verb
to embed,C1,verb
to enact,C1,verb
to encompass,C1,verb
to erect,C1,verb
to forge,C1,verb
to formulate,C1,verb
to foster,C1,verb
to harvest,C1,verb
to initiate,C1,verb
to mobilise,C1,verb
to originate,C1,verb
to reproduce,C1,verb
to simulate,C1,verb
absurd,C1,adjective
appealing,C1,adjective
bizarre,C1,adjective
costly,C1,adjective
delicate,C1,adjective
desirable,C1,adjective
distinctive,C1,adjective
divine,C1,adjective
dumb,C1,adjective
exceptional,C1,adjective
favourable,C1,adjective
fierce,C1,adjective
fragile,C1,adjective
frustrating,C1,adjective
glorious,C1,adjective
grave,C1,adjective
gross,C1,adjective
harsh,C1,adjective
hostile,C1,adjective
inadequate,C1,adjective
intriguing,C1,adjective
magical,C1,adjective
moderate,C1,adjective
peculiar,C1,adjective
prestigious,C1,adjective
problematic,C1,adjective
productive,C1,adjective
profitable,C1,adjective
straightforward,C1,adjective
superb,C1,adjective
terrific,C1,adjective
thoughtful,C1,adjective
thrilled,C1,adjective
transparent,C1,adjective
vicious,C1,adjective
worthwhile,C1,adjective
worthy,C1,adjective
accountable,C1,adjective
applicable,C1,adjective
arbitrary,C1,adjective
authentic,C1,adjective
comparable,C1,adjective
compelling,C1,adjective
credible,C1,adjective
definitive,C1,adjective
eligible,C1,adjective
explicit,C1,adjective
fraudulent,C1,adjective
inappropriate,C1,adjective
inclined,C1,adjective
inherent,C1,adjective
insufficient,C1,adjective
irrelevant,C1,adjective
legitimate,C1,adjective
liable,C1,adjective
misleading,C1,adjective
plausible,C1,adjective
preliminary,C1,adjective
rational,C1,adjective
regulatory,C1,adjective
symbolic,C1,adjective
underlying,C1,adjective
vague,C1,adjective
verbal,C1,adjective
viable,C1,adjective
beloved,C1,adjective
brutal,C1,adjective
cautious,C1,adjective
competent,C1,adjective
content,C1,adjective
cooperative,C1,adjective
corrupt,C1,adjective
crude,C1,adjective
cynical,C1,adjective
damaging,C1,adjective
decisive,C1,adjective
dedicated,C1,adjective
defensive,C1,adjective
destructive,C1,adjective
engaging,C1,adjective
humble,C1,adjective
infamous,C1,adjective
influential,C1,adjective
instrumental,C1,adjective
just,C1,adjective
legendary,C1,adjective
naive,C1,adjective
noble,C1,adjective
notorious,C1,adjective
passive,C1,adjective
persistent,C1,adjective
protective,C1,adjective
reluctant,C1,adjective
renowned,C1,adjective
selective,C1,adjective
suspicious,C1,adjective
accordingly,C1,adverb
allegedly,C1,adverb
consciously,C1,adverb
continually,C1,adverb
correspondingly,C1,adverb
exclusively,C1,adverb
explicitly,C1,adverb
forth,C1,adverb
frankly,C1,adverb
halfway,C1,adverb
hence,C1,adverb
ironically,C1,adverb
merely,C1,adverb
namely,C1,adverb
nonetheless,C1,adverb
notably,C1,adverb
overly,C1,adverb
partially,C1,adverb
predominantly,C1,adverb
presently,C1,adverb
presumably,C1,adverb
readily,C1,adverb
regardless,C1,adverb
reportedly,C1,adverb
respectively,C1,adverb
secondly,C1,adverb
seemingly,C1,adverb
seldom,C1,adverb
simultaneously,C1,adverb
solely,C1,adverb
subsequently,C1,adverb
substantially,C1,adverb
supposedly,C1,adverb
thankfully,C1,adverb
thereafter,C1,adverb
thereby,C1,adverb
undoubtedly,C1,adverb
utterly,C1,adverb
whatsoever,C1,adverb
wholly,C1,adverb
accomplice,C2,noun
adherent,C2,noun
adversary,C2,noun
apostle,C2,noun
arbiter,C2,noun
artisan,C2,noun
autocrat,C2,noun
bellwether,C2,noun
benefactor,C2,noun
charlatan,C2,noun
compatriot,C2,noun
connoisseur,C2,noun
culprit,C2,noun
curmudgeon,C2,noun
demagogue,C2,noun
disciple,C2,noun
dissident,C2,noun
emissary,C2,noun
envoy,C2,noun
epicure,C2,noun
expatriate,C2,noun
exponent,C2,noun
figurehead,C2,noun
forerunner,C2,noun
freshman,C2,noun
henchman,C2,noun
iconoclast,C2,noun
ideologue,C2,noun
incumbent,C2,noun
journeyman,C2,noun
jurist,C2,noun
laggard,C2,noun
laureate,C2,noun
liaison,C2,noun
linguist,C2,noun
litigant,C2,noun
lout,C2,noun
luminary,C2,noun
maestro,C2,noun
magnate,C2,noun
malcontent,C2,noun
marauder,C2,noun
matriarch,C2,noun
maverick,C2,noun
mediator,C2,noun
mercenary,C2,noun
messiah,C2,noun
minion,C2,noun
misanthrope,C2,noun
mogul,C2,noun
namesake,C2,noun
nemesis,C2,noun
neophyte,C2,noun
nonentity,C2,noun
novice,C2,noun
oaf,C2,noun
oracle,C2,noun
orator,C2,noun
pallbearer,C2,noun
paragon,C2,noun
pariah,C2,noun
pedant,C2,noun
perjurer,C2,noun
perpetrator,C2,noun
philanthropist,C2,noun
philistine,C2,noun
plaintiff,C2,noun
playwright,C2,noun
polyglot,C2,noun
pragmatist,C2,noun
pretender,C2,noun
prodigy,C2,noun
propagandist,C2,noun
proponent,C2,noun
proprietor,C2,noun
protagonist,C2,noun
protégé,C2,noun
pundit,C2,noun
purist,C2,noun
purveyor,C2,noun
quack,C2,noun
rabble,C2,noun
rascal,C2,noun
recluse,C2,noun
renegade,C2,noun
ringleader,C2,noun
rogue,C2,noun
saboteur,C2,noun
sage,C2,noun
satirist,C2,noun
savant,C2,noun
scapegoat,C2,noun
scion,C2,noun
scoundrel,C2,noun
seer,C2,noun
simpleton,C2,noun
solicitor,C2,noun
sophomore,C2,noun
sovereign,C2,noun
speculator,C2,noun
spinster,C2,noun
stalwart,C2,noun
steward,C2,noun
stickler,C2,noun
stowaway,C2,noun
strategist,C2,noun
suffragette,C2,noun
supremacist,C2,noun
surrogate,C2,noun
sycophant,C2,noun
tactician,C2,noun
taskmaster,C2,noun
theologian,C2,noun
tipster,C2,noun
titan,C2,noun
tradesman,C2,noun
trafficker,C2,noun
trailblazer,C2,noun
trickster,C2,noun
turncoat,C2,noun
tycoon,C2,noun
tyrant,C2,noun
umpire,C2,noun
underdog,C2,noun
underling,C2,noun
understudy,C2,noun
undertaker,C2,noun
underwriter,C2,noun
usher,C2,noun
vagrant,C2,noun
vandal,C2,noun
victor,C2,noun
vigilante,C2,noun
villain,C2,noun
virtuoso,C2,noun
visionary,C2,noun
voyeur,C2,noun
warden,C2,noun
warlord,C2,noun
watchdog,C2,noun
whistleblower,C2,noun
wrongdoer,C2,noun
xenophobe,C2,noun
yokel,C2,noun
youngster,C2,noun
zealot,C2,noun
to abhor,C2,verb
to admonish,C2,verb
to berate,C2,verb
to castigate,C2,verb
to censure,C2,verb
to chastise,C2,verb
to chide,C2,verb
to decry,C2,verb
to denigrate,C2,verb
to deplore,C2,verb
to deride,C2,verb
to desecrate,C2,verb
to disdain,C2,verb
to disparage,C2,verb
to excoriate,C2,verb
to lambaste,C2,verb
to malign,C2,verb
to rebuke,C2,verb
to reprimand,C2,verb
to reproach,C2,verb
to scorn,C2,verb
to slander,C2,verb
to spurn,C2,verb
to upbraid,C2,verb
to vilify,C2,verb
to vituperate,C2,verb
to abate,C2,verb
to alleviate,C2,verb
to ameliorate,C2,verb
to appease,C2,verb
to assuage,C2,verb
to curtail,C2,verb
to debilitate,C2,verb
to decimate,C2,verb
to deflate,C2,verb
to deplete,C2,verb
to dissipate,C2,verb
to dwindle,C2,verb
to enervate,C2,verb
to expunge,C2,verb
to mitigate,C2,verb
to mollify,C2,verb
to obliterate,C2,verb
to obviate,C2,verb
to pacify,C2,verb
to palliate,C2,verb
to pamper,C2,verb
to placate,C2,verb
to truncate,C2,verb
to wane,C2,verb
to abdicate,C2,verb
to abjure,C2,verb
to abrogate,C2,verb
to abscond,C2,verb
to absolve,C2,verb
to abstain,C2,verb
to accede,C2,verb
to accredit,C2,verb
to acquiesce,C2,verb
to acquit,C2,verb
to atone,C2,verb
to confiscate,C2,verb
to convene,C2,verb
to corroborate,C2,verb
to exonerate,C2,verb
to inaugurate,C2,verb
to indemnify,C2,verb
to levy,C2,verb
to proscribe,C2,verb
to ratify,C2,verb
to reconcile,C2,verb
to redeem,C2,verb
to relinquish,C2,verb
to remit,C2,verb
to renege,C2,verb
to renounce,C2,verb
to repeal,C2,verb
to rescind,C2,verb
to revoke,C2,verb
to stipulate,C2,verb
to vindicate,C2,verb
to allude,C2,verb
to ascertain,C2,verb
to belie,C2,verb
to beseech,C2,verb
to construe,C2,verb
to debunk,C2,verb
to discern,C2,verb
to elucidate,C2,verb
to epitomise,C2,verb
to err,C2,verb
to espouse,C2,verb
to exemplify,C2,verb
to fathom,C2,verb
to heed,C2,verb
to ponder,C2,verb
to postulate,C2,verb
to refute,C2,verb
to ruminate,C2,verb
to scrutinise,C2,verb
to substantiate,C2,verb
to surmise,C2,verb
to validate,C2,verb
acclaimed,C2,adjective
adroit,C2,adjective
affable,C2,adjective
altruistic,C2,adjective
amenable,C2,adjective
assiduous,C2,adjective
astute,C2,adjective
auspicious,C2,adjective
benevolent,C2,adjective
cordial,C2,adjective
debonair,C2,adjective
decorous,C2,adjective
dexterous,C2,adjective
dogged,C2,adjective
ebullient,C2,adjective
eloquent,C2,adjective
erudite,C2,adjective
fortuitous,C2,adjective
genial,C2,adjective
gregarious,C2,adjective
impeccable,C2,adjective
indomitable,C2,adjective
industrious,C2,adjective
ingenious,C2,adjective
ingenuous,C2,adjective
judicious,C2,adjective
laudable,C2,adjective
lucid,C2,adjective
magnanimous,C2,adjective
meticulous,C2,adjective
munificent,C2,adjective
painstaking,C2,adjective
perspicacious,C2,adjective
philanthropic,C2,adjective
pious,C2,adjective
placid,C2,adjective
precocious,C2,adjective
preeminent,C2,adjective
prudent,C2,adjective
punctilious,C2,adjective
quintessential,C2,adjective
resilient,C2,adjective
resolute,C2,adjective
reverent,C2,adjective
reverential,C2,adjective
rigorous,C2,adjective
sacrosanct,C2,adjective
sagacious,C2,adjective
sanguine,C2,adjective
scrupulous,C2,adjective
sedulous,C2,adjective
solemn,C2,adjective
solicitous,C2,adjective
staunch,C2,adjective
tenacious,C2,adjective
tractable,C2,adjective
tranquil,C2,adjective
undaunted,C2,adjective
unpretentious,C2,adjective
unremitting,C2,adjective
urbane,C2,adjective
venerable,C2,adjective
vivacious,C2,adjective
zealous,C2,adjective
abiding,C2,adjective
adamant,C2,adjective
ambivalent,C2,adjective
apathetic,C2,adjective
apprehensive,C2,adjective
austere,C2,adjective
besotted,C2,adjective
bewitching,C2,adjective
circumspect,C2,adjective
cloistered,C2,adjective
convivial,C2,adjective
coquettish,C2,adjective
daunting,C2,adjective
devoid,C2,adjective
disinterested,C2,adjective
dispassionate,C2,adjective
effusive,C2,adjective
elated,C2,adjective
enigmatic,C2,adjective
enticing,C2,adjective
equivocal,C2,adjective
erotic,C2,adjective
erstwhile,C2,adjective
exacting,C2,adjective
exuberant,C2,adjective
fervent,C2,adjective
fervid,C2,adjective
formidable,C2,adjective
frugal,C2,adjective
idiosyncratic,C2,adjective
idyllic,C2,adjective
impartial,C2,adjective
impassive,C2,adjective
impertinent,C2,adjective
imperturbable,C2,adjective
impervious,C2,adjective
impetuous,C2,adjective
impromptu,C2,adjective
incisive,C2,adjective
ineffable,C2,adjective
innocuous,C2,adjective
intrepid,C2,adjective
intrusive,C2,adjective
irreproachable,C2,adjective
lenient,C2,adjective
level-headed,C2,adjective
malleable,C2,adjective
mutable,C2,adjective
penitent,C2,adjective
pensive,C2,adjective
phlegmatic,C2,adjective
quiescent,C2,adjective
reclusive,C2,adjective
reticent,C2,adjective
singular,C2,adjective
solitary,C2,adjective
stoic,C2,adjective
stolid,C2,adjective
taciturn,C2,adjective
tentative,C2,adjective
vociferous,C2,adjective
whimsical,C2,adjective
wistful,C2,adjective
arguably,C2,adverb
diligently,C2,adverb
gingerly,C2,adverb
henceforth,C2,adverb
hitherto,C2,adverb
immeasurably,C2,adverb
imperceptibly,C2,adverb
inter alia,C2,adverb
intermittently,C2,adverb
patently,C2,adverb
resolutely,C2,adverb
vehemently,C2,adverb
verbatim,C2,adverb
whereby,C2,adverb
